,HANDLE,bldg_price,VB,new_construction_price,NC,side_lot_price,SL,vacant_lot_price,VL
11940,13720000480,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7930668,"$2,283.79"
11941,13720000490,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11942,13720000510,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11943,13720000530,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11944,13720000550,0.0,N/A,1313.0000000000002,"$1,313.00",-2.0,Ineligible: frontage > 25 ft,2740.5487893000004,"$2,740.55"
11945,13720000570,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11946,13720000580,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11947,13720000610,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,7653.2400210000005,"$7,653.24"
11948,13720000620,0.0,N/A,1903.8500000000004,"$1,903.85",-2.0,Ineligible: frontage > 25 ft,2496.9360220000003,"$2,496.94"
11949,13720000630,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11950,13720000650,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11951,13721000010,0.0,N/A,3282.5000000000005,"$3,282.50",-2.0,Ineligible: frontage > 25 ft,7163.109520000001,"$7,163.11"
11952,13721000020,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2399.9407124,"$2,399.94"
11953,13721000040,0.0,N/A,1174.2596622900003,"$1,174.26",-2.0,Ineligible: frontage > 25 ft,2581.0641738000004,"$2,581.06"
11954,13721000050,4000.0,"$4,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11955,13721000060,0.0,N/A,1313.0000000000002,"$1,313.00",-2.0,Ineligible: frontage > 25 ft,2881.7480916000004,"$2,881.75"
11956,13721000070,0.0,N/A,2319.6333333333337,"$2,319.63",-2.0,Ineligible: frontage > 25 ft,5092.0916886,"$5,092.09"
11957,13721000080,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11958,13721000090,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11959,13721000100,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11960,13721000120,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,4807.735211300001,"$4,807.74"
11961,13721000130,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11962,13721000150,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11963,13721000160,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11964,13721000170,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2405.7023046000004,"$2,405.70"
11965,13721000180,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2406.0256339000002,"$2,406.03"
11966,13721000190,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2406.3060161,"$2,406.31"
11967,13721000200,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11968,13721000230,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11969,13721000240,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,4780.8463045,"$4,780.85"
11970,13721000250,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11971,13721000270,0.0,N/A,2644.819679796667,"$2,644.82",-2.0,Ineligible: frontage > 25 ft,4226.9136854,"$4,226.91"
11972,13721000280,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,2841.5336544000006,"$2,841.53"
11973,13721000330,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11974,13721000340,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2232.1351990000003,"$2,232.14"
11975,13721000345,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11976,13721000360,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11977,13721000370,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11978,13721000380,0.0,N/A,1546.2764121133334,"$1,546.28",-2.0,Ineligible: frontage > 25 ft,3152.5880540000003,"$3,152.59"
11979,13721000400,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,4460.959886600001,"$4,460.96"
11980,13721000430,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,4994.5155190000005,"$4,994.52"
11981,13721000470,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11982,13721000480,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11983,13721000490,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11984,13721000530,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11985,13721000540,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,5099.577368200001,"$5,099.58"
11986,13721000550,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,5075.0175287,"$5,075.02"
11987,13721000580,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11988,13721000590,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11989,13721000600,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11990,13722000070,0.0,N/A,1928.359394606667,"$1,928.36",-2.0,Ineligible: frontage > 25 ft,1537.4027977,"$1,537.40"
11991,13722000080,0.0,N/A,962.8666666666668,$962.87,361.1666666666667,$361.17,1786.4369103000001,"$1,786.44"
11992,13722000085,0.0,N/A,1225.466666666667,"$1,225.47",-2.0,Ineligible: frontage > 25 ft,2273.6868364,"$2,273.69"
11993,13722000090,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11994,13722000100,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11995,13722000110,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11996,13722000120,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,5726.9742299,"$5,726.97"
11997,13722000130,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,4421.457606300001,"$4,421.46"
11998,13722000140,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,19264.843143,"$19,264.84"
11999,13722000150,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12000,13723000030,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,4427.5442554,"$4,427.54"
12001,13723000040,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2213.7780413,"$2,213.78"
12002,13723000050,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12003,13723000060,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2213.7780413,"$2,213.78"
12004,13723000070,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12005,13723000080,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12006,13723000085,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2213.7872442000003,"$2,213.79"
12007,13723000110,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12008,13723000120,0.0,N/A,4376.666666666667,"$4,376.67",-2.0,Ineligible: frontage > 25 ft,8855.149744,"$8,855.15"
12009,13723000130,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2213.7730174000003,"$2,213.77"
12010,13723000140,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,6641.358332,"$6,641.36"
12011,13723000160,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,2195.1765759000004,"$2,195.18"
12012,13723000165,-1.0,Contact LRA,0.0,N/A,0.0,N/A,0.0,N/A
12013,13723000170,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12014,13723000180,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12015,13723000230,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12016,13723000260,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12017,13723000300,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12018,13724000010,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,16427.5529,"$16,427.55"
12019,13724000020,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,5445.176632,"$5,445.18"
